PlotID,PINumber,Row,Column,Block,Treatment,DaysToFlower,MedianLeafAngle,LeafAngleSDV,PoorStand?,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,ThirdLeafLength,ThirdLeafWidth,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBrancSufficientNitrogeno,BranchInternodeLength,ProteinPCT,OilPCT,FiberPCT,AshPCT,StarchPCT,KernelColor
5055,PI 601816,17,27,5,SufficientNitrogen,67.0,49.9,4.78,N,6.0,24.8,148.8,47.9,6.2,13.0,201.0,74.0,8.5,0.0,24.91,11.09,29.5,7.36,1.35,61.67,1.67,9.29,11.94,4.57,1.46,71.93,White
5056,PI 656111,18,27,5,SufficientNitrogen,67.0,62.1,4.28,N,39.0,29.8,1162.2,43.7,5.2,12.0,150.0,77.0,6.5,2.0,19.87,8.89,17.1,5.84,3.32,67.0,0.83,10.31,10.49,4.23,1.54,68.86,White
5057,PI 533936,19,27,5,SufficientNitrogen,61.0,36.6,8.32,N,18.0,21.6,388.8,30.8,2.7,12.0,75.0,68.0,6.5,0.67,21.5,7.11,14.03,4.64,3.59,55.0,3.13,10.19,12.76,4.75,1.65,72.76,Mustard
5058,PI 656081,20,27,5,SufficientNitrogen,56.0,47.0,4.66,N,39.0,9.3,362.7,44.5,3.7,7.0,138.0,61.0,7.1,4.0,18.07,8.12,29.0,4.72,1.94,49.67,2.83,9.8,11.94,2.71,1.31,58.26,Orange
5061,PI 655981,23,27,5,SufficientNitrogen,62.0,45.1,3.18,N,23.0,17.6,404.8,45.0,4.8,14.0,108.0,66.0,5.5,1.67,22.66,13.36,25.87,8.71,3.06,48.33,3.9,10.71,20.31,0.38,2.4,54.2,
5062,PI 597951,24,27,5,SufficientNitrogen,51.0,66.1,13.04,N,23.0,17.8,409.4,38.3,3.6,7.0,92.0,53.0,5.0,0.0,21.13,11.98,17.63,9.07,2.41,79.67,1.87,10.34,14.52,3.66,1.57,64.5,Brown
5063,PI 656092,25,27,5,SufficientNitrogen,75.0,31.2,5.68,N,24.0,30.9,741.6,30.4,3.7,16.0,281.0,51.5,7.0,0.67,27.54,10.95,17.63,7.01,2.82,60.67,1.6,10.61,13.02,5.2,1.64,74.24,White
5064,PI 276837,26,27,5,SufficientNitrogen,60.0,52.6,1.88,N,20.0,15.2,304.0,30.0,3.0,9.0,140.0,50.0,5.5,0.0,19.96,8.77,15.67,6.58,2.95,41.33,2.67,10.4,11.5,4.47,1.58,71.38,Grey
5065,PI 656016,27,27,5,SufficientNitrogen,67.0,37.4,3.99,N,15.0,21.3,319.5,36.2,4.4,14.0,97.0,61.0,6.0,0.0,24.76,10.49,27.87,7.5,2.37,40.33,2.9,10.55,12.1,3.68,1.75,66.96,White
5066,PI 576437,15,26,5,SufficientNitrogen,61.0,57.0,7.55,N,43.0,16.3,700.9,42.5,4.8,12.0,159.0,59.5,6.5,2.33,19.58,7.94,33.97,4.19,1.67,50.67,2.67,10.38,14.08,4.96,1.58,70.98,Grey
